USD/NTD,EUR/USD,USD/JPY,GBP/USD,AUD/USD,USD/HKD
31.865,1.42985,92.765,1.6099,0.89745,7.75775
31.805,1.44365,91.825,1.6114,0.9139,7.7564
31.828,1.4352,92.11,1.59645,0.9137,7.756
31.835,1.4395,92.225,1.5995,0.9222,7.7548
31.865,1.43095,93.225,1.5949,0.91495,7.7558
31.735,1.4508,92.27,1.6099,0.93045,7.7555
31.785,1.44875,92.255,1.6088,0.92765,7.75475
31.803,1.44885,91.085,1.6187,0.92365,7.75535
31.76,1.45335,91.725,1.62865,0.9296,7.75655
31.729,1.443,91.135,1.6334,0.92745,7.7584
31.771,1.43775,90.995,1.6314,0.92155,7.76105
31.772,1.4393,90.425,1.64035,0.9235,7.7642
31.82,1.4201,91.12,1.6305,0.91685,7.76415
31.906,1.40875,91.63,1.6259,0.9134,7.76895
31.969,1.41225,89.975,1.62175,0.9026,7.772
31.945,1.4162,90.105,1.6116,0.90615,7.7726
31.99,1.40935,89.805,1.6211,0.89965,7.7701
32.031,1.4068,89.255,1.61255,0.90105,7.77515
31.975,1.4016,90.305,1.6189,0.90155,7.7717
31.973,1.39305,89.925,1.6128,0.89015,7.76755
32.045,1.38785,90.21,1.5956,0.8825,7.7674
32.06,1.392,90.815,1.59405,0.8808,7.7682
31.995,1.39575,90.465,1.5991,0.8861,7.7665
31.985,1.3897,90.905,1.5912,0.8818,7.7673
32.073,1.37075,89.65,1.57305,0.86685,7.77125
32.05,1.36845,89.265,1.56575,0.86785,7.7712
32.111,1.3641,89.345,1.56,0.86625,7.77075
32.103,1.37085,89.39,1.5624,0.86945,7.7698
32.05,1.3749,89.6,1.5673,0.8746,7.7693
32.015,1.36365,91.675,1.548,0.90085,7.7655
32.038,1.36315,91.04,1.553,0.90135,7.76075
32.041,1.3539,90.21,1.5449,0.8926,7.76355
32.087,1.3466,89.725,1.5342,0.88845,7.7655
32.073,1.35845,89.285,1.5272,0.8897,7.7625
32.029,1.36085,89.085,1.5163,0.8975,7.7624
32.019,1.3537,89.345,1.4935,0.8991,7.7645
31.998,1.36505,88.725,1.50525,0.9049,7.76295
31.96,1.36715,88.47,1.50725,0.9015,7.76255
31.924,1.3592,89.27,1.50375,0.90075,7.7631
31.878,1.36825,90.395,1.5164,0.91125,7.7614
31.85,1.36115,89.98,1.5009,0.90905,7.759
31.747,1.35985,90.03,1.49695,0.91545,7.7594
31.8,1.3647,90.385,1.49855,0.91485,7.75895
31.77,1.36995,90.605,1.5067,0.91635,7.76015
31.793,1.37445,90.595,1.5169,0.9146,7.75825
31.806,1.36895,90.055,1.50475,0.91495,7.7591
31.745,1.37855,90.635,1.522,0.91815,7.7618
31.69,1.36835,90.14,1.52845,0.9209,7.7617
31.729,1.36225,90.46,1.52425,0.92205,7.75935
31.801,1.3515,90.51,1.4956,0.91405,7.76105
31.814,1.35535,90.285,1.508,0.91735,7.7616
31.794,1.34245,90.595,1.4988,0.91655,7.7618
31.828,1.32965,92.055,1.48715,0.90925,7.7618
31.87,1.3338,92.605,1.4888,0.91025,7.76215
31.793,1.34355,92.595,1.4932,0.90855,7.7642
31.773,1.3484,92.415,1.50015,0.91875,7.76375
31.767,1.34045,93.33,1.5076,0.91495,7.76355
31.744,1.35045,93.46,1.52125,0.91635,7.7654
31.73,1.35785,93.825,1.52765,0.91925,7.7676
31.669,1.34275,93.99,1.52285,0.92265,7.7661
31.574,1.33745,94.16,1.5257,0.9263,7.7638
31.59,1.33315,93.19,1.5225,0.9279,7.7624
31.571,1.3345,93.57,1.5275,0.92715,7.7585
31.505,1.36645,93.16,1.54545,0.9323,7.7579
31.57,1.3581,92.765,1.5361,0.9242,7.7602
31.45,1.3651,93.28,1.5419,0.93175,7.7597
31.363,1.3637,93.345,1.5513,0.9346,7.7611
31.37,1.35385,92.765,1.5444,0.9304,7.7616
31.445,1.34615,91.955,1.5239,0.91855,7.7626
31.43,1.347,92.61,1.53155,0.92775,7.7622
31.362,1.3414,93.195,1.5372,0.9328,7.7631
31.39,1.33925,92.825,1.5427,0.9268,7.7632
31.353,1.32345,93.44,1.53715,0.9206,7.7625
31.309,1.33785,94.225,1.54595,0.9289,7.7626
31.278,1.33785,93.975,1.5454,0.92585,7.7639
31.375,1.32075,93.135,1.52775,0.9215,7.7647
31.408,1.32315,93.955,1.5158,0.92525,7.76705
31.368,1.3241,94.025,1.53255,0.92995,7.76525
31.393,1.3225,93.935,1.5246,0.92475,7.76455
31.4,1.3184,94.875,1.5226,0.92175,7.7629
31.513,1.2953,94.78,1.513,0.90885,7.7666
31.59,1.2819,93.82,1.51025,0.9043,7.76675
31.71,1.26675,91.81,1.45985,0.88675,7.7785
31.598,1.29145,92.71,1.4866,0.9012,7.7793
31.55,1.27395,92.76,1.4839,0.89805,7.7799
31.691,1.2626,92.58,1.49055,0.89165,7.78085
31.669,1.2654,93.2,1.4858,0.89945,7.78225
31.648,1.25565,92.935,1.4637,0.89675,7.7825
31.822,1.22725,91.89,1.4321,0.8756,7.7984
31.876,1.23405,92.46,1.4441,0.87175,7.80065
31.96,1.2216,92.065,1.43135,0.85755,7.79895
32.058,1.23565,91.41,1.4368,0.83165,7.80355
32.15,1.26365,90.18,1.44455,0.83165,7.8049
32.106,1.25085,90.2,1.4476,0.82915,7.8032
32.245,1.2284,89.83,1.43395,0.81805,7.8018
32.258,1.2285,90.17,1.43705,0.82385,7.80065
32.164,1.22625,90.18,1.44505,0.83165,7.7842
32.019,1.2312,91.15,1.454,0.84975,7.78665
31.967,1.23235,91.53,1.4476,0.85095,7.7913
32.15,1.22765,91.215,1.4493,0.84005,7.7908
32.294,1.22085,91.455,1.4728,0.83095,7.7947
32.105,1.23155,92.295,1.46995,0.85005,7.7883
32.163,1.21675,92.66,1.46125,0.84365,7.79145
32.443,1.1921,91.265,1.44375,0.81525,7.79715
32.358,1.19585,91.615,1.44955,0.8186,7.8036
32.405,1.19295,91.405,1.4404,0.82075,7.8048
32.443,1.20405,91.175,1.4576,0.8368,7.7987
