DateTime,사용자,세션,신규방문자,페이지뷰
2018-09-09 00:00:00,19,19,8,206
2018-09-09 01:00:00,20,19,9,259
2018-09-09 02:00:00,12,9,1,48
2018-09-09 03:00:00,10,10,2,102
2018-09-09 04:00:00,6,5,3,18
2018-09-09 05:00:00,5,5,1,20
2018-09-09 06:00:00,6,6,1,33
2018-09-09 07:00:00,6,6,2,64
2018-09-09 08:00:00,7,8,1,14
2018-09-09 09:00:00,7,7,1,17
2018-09-09 10:00:00,10,10,2,19
2018-09-09 11:00:00,6,5,1,16
2018-09-09 12:00:00,10,11,3,21
2018-09-09 13:00:00,20,16,7,131
2018-09-09 14:00:00,12,12,2,62
2018-09-09 15:00:00,10,8,1,58
2018-09-09 16:00:00,9,9,1,35
2018-09-09 17:00:00,16,14,4,146
2018-09-09 18:00:00,13,12,2,47
2018-09-09 19:00:00,9,7,1,33
2018-09-09 20:00:00,19,20,5,129
2018-09-09 21:00:00,17,17,7,107
2018-09-09 22:00:00,17,17,2,77
2018-09-09 23:00:00,15,14,6,164
2018-09-10 00:00:00,16,17,4,298
2018-09-10 01:00:00,7,6,1,33
2018-09-10 02:00:00,7,7,0,41
2018-09-10 03:00:00,7,6,1,71
2018-09-10 04:00:00,7,7,2,29
2018-09-10 05:00:00,5,4,0,38
2018-09-10 06:00:00,10,10,3,40
2018-09-10 07:00:00,6,6,1,38
2018-09-10 08:00:00,8,6,3,29
2018-09-10 09:00:00,9,8,0,178
2018-09-10 10:00:00,18,17,2,96
2018-09-10 11:00:00,5,4,1,12
2018-09-10 12:00:00,4,4,2,5
2018-09-10 13:00:00,20,20,6,197
2018-09-10 14:00:00,14,12,6,81
2018-09-10 15:00:00,19,17,5,107
2018-09-10 16:00:00,11,11,1,42
2018-09-10 17:00:00,13,13,1,67
2018-09-10 18:00:00,6,6,2,21
2018-09-10 19:00:00,13,12,2,84
2018-09-10 20:00:00,13,13,3,116
2018-09-10 21:00:00,17,16,2,74
2018-09-10 22:00:00,17,14,2,139
2018-09-10 23:00:00,12,11,1,256
2018-09-11 00:00:00,16,16,3,295
2018-09-11 01:00:00,14,15,5,99
2018-09-11 02:00:00,9,5,0,50
2018-09-11 03:00:00,8,8,1,56
2018-09-11 04:00:00,6,6,1,9
2018-09-11 05:00:00,6,6,0,23
2018-09-11 06:00:00,6,5,3,13
2018-09-11 07:00:00,7,7,0,26
2018-09-11 08:00:00,6,6,2,9
2018-09-11 09:00:00,20,18,6,98
2018-09-11 10:00:00,10,9,2,60
2018-09-11 11:00:00,13,13,2,42
2018-09-11 12:00:00,17,19,3,101
2018-09-11 13:00:00,19,16,4,134
2018-09-11 14:00:00,26,26,7,194
2018-09-11 15:00:00,18,16,2,53
2018-09-11 16:00:00,14,16,3,119
2018-09-11 17:00:00,16,14,2,130
2018-09-11 18:00:00,18,17,2,55
2018-09-11 19:00:00,15,14,4,126
2018-09-11 20:00:00,20,18,4,77
2018-09-11 21:00:00,19,17,2,59
2018-09-11 22:00:00,14,13,0,85
2018-09-11 23:00:00,12,10,0,85
2018-09-12 00:00:00,14,14,1,169
2018-09-12 01:00:00,12,11,1,105
2018-09-12 02:00:00,14,11,4,124
2018-09-12 03:00:00,12,12,4,57
2018-09-12 04:00:00,3,2,0,3
2018-09-12 05:00:00,7,7,0,11
2018-09-12 06:00:00,12,12,1,40
2018-09-12 07:00:00,15,15,3,113
2018-09-12 08:00:00,7,7,2,31
2018-09-12 09:00:00,15,15,4,146
2018-09-12 10:00:00,7,7,0,121
2018-09-12 11:00:00,12,12,0,113
2018-09-12 12:00:00,13,12,2,98
2018-09-12 13:00:00,11,9,1,85
2018-09-12 14:00:00,14,13,1,82
2018-09-12 15:00:00,12,14,4,215
2018-09-12 16:00:00,17,16,3,157
2018-09-12 17:00:00,11,10,2,120
2018-09-12 18:00:00,14,12,1,67
2018-09-12 19:00:00,14,14,2,57
2018-09-12 20:00:00,19,19,3,83
2018-09-12 21:00:00,12,11,3,171
2018-09-12 22:00:00,15,14,1,103
2018-09-12 23:00:00,18,18,2,324
2018-09-13 00:00:00,22,22,2,417
2018-09-13 01:00:00,11,9,1,51
2018-09-13 02:00:00,6,8,0,57
2018-09-13 03:00:00,7,5,2,80
2018-09-13 04:00:00,7,6,0,43
2018-09-13 05:00:00,8,7,1,54
2018-09-13 06:00:00,4,4,0,13
2018-09-13 07:00:00,5,5,1,40
2018-09-13 08:00:00,11,11,3,64
2018-09-13 09:00:00,13,13,5,70
2018-09-13 10:00:00,19,15,2,217
2018-09-13 11:00:00,14,13,1,97
2018-09-13 12:00:00,12,11,1,61
2018-09-13 13:00:00,19,17,2,148
2018-09-13 14:00:00,22,22,6,102
2018-09-13 15:00:00,22,21,4,134
2018-09-13 16:00:00,17,12,3,157
2018-09-13 17:00:00,19,18,3,157
2018-09-13 18:00:00,22,18,2,111
2018-09-13 19:00:00,20,21,3,240
2018-09-13 20:00:00,20,17,2,89
2018-09-13 21:00:00,27,28,1,313
2018-09-13 22:00:00,22,17,0,518
2018-09-13 23:00:00,29,24,5,612
2018-09-14 00:00:00,23,23,4,553
2018-09-14 01:00:00,18,16,2,194
2018-09-14 02:00:00,10,8,1,117
2018-09-14 03:00:00,9,9,1,101
2018-09-14 04:00:00,8,6,0,92
2018-09-14 05:00:00,9,8,0,89
2018-09-14 06:00:00,7,6,3,47
2018-09-14 07:00:00,10,9,2,80
2018-09-14 08:00:00,12,10,1,139
2018-09-14 09:00:00,22,21,11,193
2018-09-14 10:00:00,28,27,4,197
2018-09-14 11:00:00,16,13,0,105
2018-09-14 12:00:00,18,15,2,142
2018-09-14 13:00:00,18,16,3,188
2018-09-14 14:00:00,16,17,3,146
2018-09-14 15:00:00,18,16,2,228
2018-09-14 16:00:00,16,15,3,62
2018-09-14 17:00:00,10,9,3,88
2018-09-14 18:00:00,17,17,3,78
2018-09-14 19:00:00,9,9,1,80
2018-09-14 20:00:00,12,11,2,67
2018-09-14 21:00:00,10,11,1,74
2018-09-14 22:00:00,14,12,1,117
2018-09-14 23:00:00,13,13,4,106
2018-09-15 00:00:00,16,18,5,110
2018-09-15 01:00:00,20,19,5,145
2018-09-15 02:00:00,5,4,0,16
